,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
1224884,47667,1,1,46,110,46,46,46.0,0.0,110,110,110.0,0.0,3272.704387,41.95774855,47667.0,0.0,47667,47667,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,40,20.97887427,20.97887427,46,110,67.33333333,36.95041723,1365.333333,0,0,0,0,0,0,0,1,101.0,46.0,110.0,1,46,1,110,-1,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1408226,70446,4,2,132,354,33,33,33.0,0.0,177,177,177.0,0.0,6898.901286,85.17162082,14089.2,19619.37263,40294,3,30149,10049.66667,17401.33711,30143,3,3,3.0,0.0,3,3,0,80,64,56.78108054,28.39054027,33,177,74.14285714,70.26480525,4937.142857,0,0,0,0,0,0,0,0,86.5,33.0,177.0,4,132,2,354,-1,-1,3,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1804844,29,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,68965.51724,29.0,0.0,29,29,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,34482.75862,34482.75862,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,1,0,1,0,972,305,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1933957,112104834,38,40,34082,3524,2868,6,896.8947368,1102.201894,244,0,88.1,115.8787607,335.4538663,0.695777311,1455906.935,3323716.641,10100000,3,112000000,3028499.405,4314761.601,10100000,45,112000000,2873180.59,4283060.825,10100000,3,1,760,896,0.338968434,0.356808878,0,2868,508.8860759,896.0920138,802980.8971,0,1,0,0,1,0,0,1,515.4102564,896.8947368,88.1,38,34082,40,3524,255,770,37,20,710286.6364,960094.6121,2672293,50332,9476484.091,970188.9634,10100000,7360589,BENIGN
2165013,4281474,5,1,123,46,46,0,24.6,23.27659769,46,46,46.0,0.0,39.47238731,1.401386532,856294.8,1894077.687,4244406,19,4281474,1070368.5,2116095.003,4244406,19,0,0.0,0.0,0,0,1,160,32,1.16782211,0.233564422,0,46,30.71428571,21.68497395,470.2380952,0,1,0,0,1,0,0,0,35.83333333,24.6,46.0,5,123,1,46,245,357,2,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1154549,999015,2,0,12,0,6,6,6.0,0.0,0,0,0.0,0.0,12.01183165,2.001971942,999015.0,0.0,999015,999015,999015,999015.0,0.0,999015,999015,0,0.0,0.0,0,0,0,40,0,2.001971942,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,9.0,6.0,0.0,2,12,0,0,5002,-1,1,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1486650,206980,8,8,2069,3995,1125,0,258.625,371.9446723,1460,0,499.375,634.4275119,29297.51667,77.3021548,13798.66667,23022.82065,51922,15,156808,22401.14286,27164.36015,52238,43,157207,22458.14286,27845.63831,53115,48,0,172,172,38.6510774,38.6510774,0,1460,356.7058824,509.4679534,259557.5956,0,0,1,1,0,0,1,1,379.0,258.625,499.375,8,2069,8,3995,8192,8192,7,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1655715,3,2,0,31,0,31,0,15.5,21.92031022,0,0,0.0,0.0,10300000.0,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,40,0,666666.6667,0.0,0,31,20.66666667,17.89785834,320.3333333,0,1,0,0,1,0,0,0,31.0,15.5,0.0,2,31,0,0,30016,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1516518,39681,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,50.4019556,39681.0,0.0,39681,39681,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,25.2009778,25.2009778,0,0,0.0,0.0,0.0,0,0,0,0,1,1,0,1,0.0,0.0,0.0,1,0,1,0,284,972,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
1917472,48,1,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,41666.66667,48.0,0.0,48,48,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,32,32,20833.33333,20833.33333,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,1,0,1,0,349,32832,0,32,0.0,0.0,0,0,0.0,0.0,0,0,BENIGN
