,Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packets Length Total,Bwd Packets Length Total,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Avg Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Act Data Packets,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
195329,828064,3,6,26,11607,20,0,8.666666667,10.26320288,4380,0,1934.5,2177.344966,14048.43104,10.86872512,103508.0,292337.8398,827007,3,870,435.0,485.0752519,778,92,828016,165603.2,369736.1634,827007,3,0,72,132,3.622908374,7.245816748,0,4380,1163.3,1903.962654,3625073.789,0,0,0,1,0,0,0,2,1292.555556,8.666666667,1934.5,3,26,6,11607,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0,(D)DOS
312048,43,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,186046.5116,46511.62791,43.0,0.0,43,43,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,24,20,23255.81395,23255.81395,2,6,3.333333333,2.309401077,5.333333333,0,0,0,1,0,0,0,1,5.0,2.0,6.0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0,Port Scan
1984085,3003033,3,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.998990021,1501516.5,710809.8994,2004135,998898,3003033,1501516.5,710809.8994,2004135,998898,0,0.0,0.0,0,0,0,120,0,0.998990021,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3,0,0,0,29200,-1,0,40,0.0,0.0,0,0,0.0,0.0,0,0,(D)DOS
605346,999637,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.00653637,6.002178791,199927.4,273050.6396,499623,388,999249,499624.5,564.9783182,500024,499225,998867,499433.5,816.7083323,500011,498856,0,92,60,3.001089395,3.001089395,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,1,3.0,0.0,6.0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Botnet
542262,73657,4,3,206,134,194,0,51.5,95.04209594,128,0,44.66666667,72.23111056,4615.990334,95.0350951,12276.16667,29034.18764,71539,94,73657,24552.33333,41805.59858,72824,112,72191,36095.5,50124.6784,71539,652,0,92,72,54.30576863,40.72932647,0,194,42.5,75.2880184,5668.285714,0,0,0,1,0,0,0,0,48.57142857,51.5,44.66666667,4,206,3,134,8192,237,3,20,0.0,0.0,0,0,0.0,0.0,0,0,Botnet
585987,997090,3,3,0,18,0,0,0.0,0.0,6,6,6.0,0.0,18.05253287,6.017510957,199418.0,272515.9608,498820,355,996600,498300.0,1237.436867,499175,497425,996732,498366.0,1335.017603,499310,497422,0,92,60,3.008755478,3.008755478,0,6,2.571428571,3.207134903,10.28571429,0,0,0,1,0,0,0,1,3.0,0.0,6.0,3,0,3,18,8192,0,0,28,0.0,0.0,0,0,0.0,0.0,0,0,Botnet
1691788,12092623,20,33,2008,2745,640,0,100.4,141.9141327,976,0,83.18181818,217.2857356,393.0495476,4.382837371,232550.4423,627779.8061,2440429,3,10100000,529771.5789,905845.8153,2501350,273,12100000,377891.875,769298.255,2440429,3,0,648,1064,1.653900895,2.728936476,0,976,88.01851852,189.5902723,35944.47135,0,0,0,1,0,0,0,1,89.67924528,100.4,83.18181818,20,2008,33,2745,29200,247,16,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
1564190,9183779,9,15,102,188,22,0,11.33333333,8.94427191,34,0,12.53333333,14.54975045,31.57741492,2.613303304,399294.7391,1043378.167,3427846,3,5715195,714399.375,1324460.63,3057983,48,9183621,655972.9286,1288798.149,3427846,3,0,296,488,0.979988739,1.633314565,0,34,11.6,12.50333289,156.3333333,0,0,0,1,0,0,0,1,12.08333333,11.33333333,12.53333333,9,102,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,Brute Force
1383607,5562534,3,1,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.719096728,1854178.0,3210967.593,5561884,107,5562534,2781267.0,3932386.273,5561884,650,0,0.0,0.0,0,0,0,104,40,0.539322546,0.179774182,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,3,0,1,0,29200,28960,0,32,0.0,0.0,0,0,0.0,0.0,0,0,Web-Attack
120972,4085932,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.342266097,1.223711016,1021483.0,2042300.721,4084934,1,4085932,1021483.0,2042300.721,4084934,1,0,0.0,0.0,0,0,0,100,0,1.223711016,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,7.2,6.0,0.0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0,(D)DOS
